invoice_uid,client_ref,issued_on,amount_usd,shipment_category
INV-T562H25,VERTEX PARTNERS,2025/12/30,2234.65,GROUND
INV-W1WR3GU,INITECH SUPPLY,30-Jun-2025,2614.09,GROUND
INV-X976VGV,BLUE ENTERPRISES,06/29/2024,12473.35,FREIGHT
INV-LTY8JI9,BLUE INDUSTRIES,04/18/2025,4779.81,GROUND
INV-CRAX971,HOOLI SUPPLY,2025-06-08,3096.89,GROUND
INV-6MPSCAG,NIMBUS GROUP,"Dec 27, 2025",2530.43,GROUND
INV-QY4BHUG,STARK FREIGHT,10/07/2024,15300.31,EXPRESS
INV-3EWGEAP,HOOLI LOGISTICS,"Feb 22, 2024",4774.91,GROUND
INV-5GFSV5G,ZENITH HOLDINGS,01/17/2025,9477.99,2DAY
INV-DE1V1S4,HOOLI LOGISTICS,"Oct 07, 2024",13702.02,EXPRESS
INV-U3XAFPT,QUANTUM ENTERPRISES,"Aug 23, 2024",6177.64,2DAY
INV-JJQ1YD7,STARK GROUP,"Oct 09, 2025",4706.92,GROUND
INV-IQWEVTG,BLUE PARTNERS,2025/09/22,8979.59,EXPRESS
INV-6ICKW5D,VECTOR FREIGHT,05/07/2024,2583.18,GROUND
INV-BGAJW6K,VECTOR CO,"Jun 01, 2025",3538.93,GROUND
INV-PPXSV5L,BLUE CO,05-Aug-2025,2722.25,GROUND
INV-NAAWQI2, INITECH FREIGHT ,2024/03/17,14280.49,EXPRESS
INV-M4TQBGH,TYRELL INDUSTRIES,2024/08/19,19901.38,EXPRESS
INV-0QRELXA,APEX GROUP,2024/02/08,1470.36,GROUND
INV-C9N0G8D,BLUE ENTERPRISES,05/21/2024,6567.27,2DAY
INV-07EKL1H,BLUE CO,10/10/2025,16164.82,FREIGHT
INV-TGJRQ3D,TYRELL PARTNERS,2025/08/07,10936.52,FREIGHT
INV-MXZTHSQ,TYRELL LLC,2024/01/29,3518.39,2DAY
INV-4IMV379,VECTOR LLC,20-Nov-2024,4492.46,GROUND
INV-XHDH6SM,BLUE PARTNERS,11/11/2024,8640.31,EXPRESS
INV-BIG3L00,BLUE ENTERPRISES,2025/01/18,3719.48,GROUND
INV-OS4O1JB,STARK GROUP,04/12/2024,15567.6,EXPRESS
INV-Z5VLW1X,ACME INDUSTRIES,2025/05/28,2011.0,GROUND
INV-J8CCAKO,HOOLI CO,02-Dec-2025,1891.13,GROUND
INV-A126S7H,UMBRELLA ENTERPRISES,"Jul 01, 2025",4076.83,GROUND
INV-3C4BHU5, INITECH FREIGHT ,2024-12-07,12436.73,FREIGHT
INV-742IYR8,WONKA LLC,2025-02-14,4886.65,GROUND
INV-6UDSM81,VERTEX SUPPLY,"Sep 19, 2024",7091.52,EXPRESS
INV-ROIPD1Y,TYRELL FREIGHT,2024-04-16,18295.57,EXPRESS
INV-C1NUK0U,ZENITH LOGISTICS,12/30/2024,7739.78,EXPRESS
INV-FPBCMBY,BLUE CO,04/23/2025,4445.53,GROUND
INV-DVYHGPQ,STARK GROUP,"Mar 24, 2024",25424.12,FREIGHT
INV-NK03Z9L,ACME INDUSTRIES,2024-10-27,3596.35,GROUND
INV-3CJ9QD5,GREEN FREIGHT,19-Jan-2025,42318.09,FREIGHT
INV-Z33TPGT,TYRELL LLC,14-Jun-2025,3619.0,GROUND
INV-FU2H8T8,STARK GROUP,2024-04-17,10445.35,2DAY
INV-58N1QGW, RED LOGISTICS ,2025/01/26,10682.34,EXPRESS
INV-WPX7FEU, INITECH FREIGHT ,02/24/2024,1152.63,GROUND
INV-40S6AFP,WAYNE HOLDINGS,2024-07-22,4853.53,GROUND
INV-4GKRZ8M,STARK PARTNERS,23-Mar-2024,20000.56,EXPRESS
INV-KLNMTID,HOOLI LOGISTICS,01/17/2025,1632.83,GROUND
INV-PKYFSUV,WAYNE GROUP,2024-06-12,11663.71,FREIGHT
INV-2EI0K00, MASSIVE LLC ,06/12/2025,9575.68,2DAY
INV-M6P29AF,HOOLI ENTERPRISES,12-Dec-2024,5299.54,GROUND
INV-1RA3SG1,QUANTUM FREIGHT,2024-10-18,3606.53,GROUND
INV-6JTJEIY,ZENITH HOLDINGS,2025/10/02,7697.05,2DAY
INV-IYEOOMM,GREEN LOGISTICS,09/21/2025,6305.13,EXPRESS
INV-L5ANZE9,NIMBUS HOLDINGS,2024-11-10,5303.76,2DAY
INV-U5ZLME6,UMBRELLA ENTERPRISES,06/12/2025,7075.01,EXPRESS
INV-D6G16N1,HOOLI CO,2024/06/01,15443.13,EXPRESS
INV-K63Z5B7,HOOLI SUPPLY,2025-10-14,5250.81,GROUND
INV-E1OP3S5,QUANTUM ENTERPRISES,2025/03/22,1935.38,GROUND
INV-RVUG3XM,QUANTUM ENTERPRISES,2025-08-23,7074.0,2DAY
INV-52VHXPC,HOOLI LOGISTICS,2025-12-09,4846.0,GROUND
INV-G04TYI8,STARK PARTNERS,26-Nov-2025,4081.79,GROUND
INV-PBLC5KT,UMBRELLA INDUSTRIES,02/22/2024,4190.2,GROUND
INV-XQWHBEW,MASSIVE PARTNERS,07-Jan-2024,2605.91,2DAY
INV-77KGY90,MASSIVE CO,04/14/2024,28110.41,FREIGHT
INV-8POIHV7,TYRELL INDUSTRIES,11-Jun-2024,4357.67,GROUND
INV-UN6BFNT,APEX GROUP,27-Apr-2025,2469.39,GROUND
INV-U5EKN2S,GREEN LOGISTICS,"Jul 08, 2025",2576.77,GROUND
INV-38EMWHF,STARK PARTNERS,2024/12/07,34015.86,FREIGHT
INV-ZXF7HND,STARK PARTNERS,15-Dec-2025,9447.9,2DAY
INV-AWP43NT,MASSIVE CO,2025/02/06,18027.31,EXPRESS
INV-1L49DRL,MASSIVE SUPPLY,2024-04-28,35651.45,FREIGHT
INV-ZJAC3B0,VECTOR FREIGHT,01/28/2025,5622.97,2DAY
INV-H69N63Q,NIMBUS INDUSTRIES,19-May-2024,3827.66,GROUND
INV-MSXRDU2,ZENITH HOLDINGS,"Jul 05, 2025",31673.46,FREIGHT
INV-SL4E46C, RED LOGISTICS ,2025/02/10,7316.99,2DAY
INV-L8XU4U5,MASSIVE GROUP,"Oct 02, 2024",5587.14,EXPRESS
INV-3QLZZ3V,VERTEX PARTNERS,10/11/2024,5212.43,GROUND
INV-M3G97KX, MASSIVE LLC ,2024-06-09,9286.45,2DAY
INV-JBXPGIT,VERTEX PARTNERS,2025/01/06,1572.79,GROUND
INV-9VJG0GO,MASSIVE CO,10/05/2025,10091.64,EXPRESS
INV-56SB8SG,VERTEX PARTNERS,2025/10/13,3519.21,GROUND
INV-QW3P2HE,APEX FREIGHT,2025/07/17,10189.42,FREIGHT
INV-Y3QYIZZ, WAYNE FREIGHT ,"Jun 25, 2024",17534.64,EXPRESS
INV-DGCJVN9,QUANTUM FREIGHT,"May 16, 2024",4189.65,GROUND
INV-91D4EOA,WAYNE GROUP,03/30/2024,3381.23,GROUND
INV-300AFLF,HOOLI SUPPLY,01/10/2024,1377.83,GROUND
INV-NWCILGD,VERTEX PARTNERS,21-Nov-2025,4973.12,GROUND
INV-YI9BPE3,BLUE PARTNERS,01-Jun-2024,7833.18,EXPRESS
INV-Q12HN7O, RED LOGISTICS ,"Dec 17, 2024",5006.66,GROUND
INV-U807LMN,STARK PARTNERS,"Jan 05, 2025",4813.9,2DAY
INV-5YEMKYY,WAYNE GROUP,"Sep 25, 2024",2654.72,GROUND
INV-ZWL09C2,VECTOR CO,17-Sep-2024,5037.49,GROUND
INV-PSUXDGC,MASSIVE CO,02-Aug-2024,17035.19,EXPRESS
INV-N9S75LS,BLUE CO,08/31/2025,1581.13,GROUND
INV-VNLL7G3,ZENITH HOLDINGS,2025-02-03,3679.08,GROUND
INV-1NYJXUZ,STARK GROUP,09/10/2024,3583.66,GROUND
INV-I7K84AK,TYRELL LLC,"Jul 21, 2025",2683.91,GROUND
INV-TWYYXSV,QUANTUM ENTERPRISES,2025/07/19,4355.95,GROUND
INV-8AKHCB9,UMBRELLA INDUSTRIES,27-Mar-2024,3875.48,GROUND
INV-0EA6OMU,ZENITH HOLDINGS,20-Aug-2024,2435.88,GROUND
INV-J12MF4O,MASSIVE PARTNERS,"Jun 19, 2025",1646.85,GROUND
INV-9FRA3D1,WONKA LLC,"Apr 08, 2025",4009.47,GROUND
INV-MVO5PO8,MASSIVE CO,"Mar 12, 2025",19234.35,EXPRESS
INV-AMXAHLF, RED LOGISTICS ,"Jan 23, 2024",3924.54,GROUND
INV-JIVBQAI,WAYNE GROUP,"Oct 18, 2024",2717.81,GROUND
INV-2UM7QL1, UMBRELLA PARTNERS ,12-May-2024,11241.03,EXPRESS
INV-P4FSRWW,VECTOR LOGISTICS,2024-06-16,8602.55,2DAY
INV-XW3CGD2,WAYNE HOLDINGS,11-Mar-2025,6245.2,EXPRESS
INV-2FICXD5,HOOLI CO,2024-06-03,2611.84,GROUND
INV-NLR4AB2,VECTOR FREIGHT,04-Sep-2025,19945.71,EXPRESS
INV-U8Y4AHN,APEX FREIGHT,2024/08/26,4306.83,GROUND
INV-8T6C672,VERTEX PARTNERS,24-Jul-2024,12216.75,EXPRESS
INV-3X2PYOD,BLUE CO,2024/10/10,7628.73,EXPRESS
INV-DA4FEXI,TYRELL LLC,"Jul 22, 2025",30532.09,FREIGHT
INV-YX5YVEU,HOOLI LOGISTICS,09/10/2024,3127.58,2DAY
INV-9LXGM24,UMBRELLA ENTERPRISES,"Aug 23, 2025",4344.65,GROUND
INV-EX853PF, MASSIVE LLC ,2025/08/22,13919.51,EXPRESS
INV-1NFDMPE,MASSIVE CO,"Aug 06, 2024",9319.02,2DAY
INV-YEFZHZ1,VERTEX PARTNERS,2024-11-07,3879.11,GROUND
INV-ARUUUH8,VECTOR LLC,"Feb 22, 2025",18955.05,EXPRESS
INV-MNSPGJZ,HOOLI CO,"Jul 01, 2024",3878.35,GROUND
INV-CQSA33U,VECTOR LLC,2025/09/22,13726.85,EXPRESS
INV-2J4KTK0,MASSIVE CO,"Aug 16, 2024",4733.43,GROUND
INV-UVXKEI3,WAYNE GROUP,2025/09/13,7042.26,2DAY
INV-6R35K49,VECTOR LOGISTICS,08/17/2024,4463.35,2DAY
INV-CR0E5OV,STARK PARTNERS,2025/08/23,1440.88,GROUND
INV-7YRRR2O,STARK GROUP,29-Aug-2024,1649.95,GROUND
INV-9X6IFO6,STARK GROUP,26-Jun-2025,4519.23,GROUND
INV-Q0XRQSA,QUANTUM FREIGHT,2025-09-19,37673.34,FREIGHT
INV-7YCE2D2,UMBRELLA INDUSTRIES,05-Apr-2025,18598.94,EXPRESS
INV-MGLH7MS,MASSIVE CO,2024-07-20,1655.01,GROUND
INV-RBKN14V,NIMBUS GROUP,2025/04/15,6893.52,2DAY
INV-ZKH5ZP0,GREEN LOGISTICS,2025-03-21,4532.52,GROUND
INV-54YDIB3,INITECH SUPPLY,28-Jan-2024,1497.15,GROUND
INV-2VGCMHM,HOOLI LOGISTICS,"Nov 23, 2024",2980.69,GROUND
INV-DWDE9Z5,TYRELL FREIGHT,06/24/2025,2908.96,GROUND
INV-SXC3EXT,ZENITH HOLDINGS,09/28/2024,13390.64,FREIGHT
INV-W8SYAK9, BLUE SUPPLY ,10-Feb-2025,5937.41,EXPRESS
INV-2518P6J,VECTOR CO,31-Dec-2024,5155.92,GROUND
INV-XB1KEBP,WONKA LLC,07-Sep-2025,2373.07,GROUND
INV-58NRQHF,BLUE INDUSTRIES,09-Apr-2025,1276.11,GROUND
INV-9N8YSEB,MASSIVE SUPPLY,09/27/2024,10321.84,2DAY
INV-Z24LHNU,HOOLI CO,2024/10/23,4051.56,2DAY
INV-SE4I3BI,TYRELL PARTNERS,02/08/2025,2534.45,GROUND
INV-8G6GAE9,VECTOR LLC,"Jan 07, 2024",5548.39,2DAY
INV-JAORAJM,VERTEX SUPPLY,01/06/2025,23864.16,FREIGHT
INV-B9E2SSR,STARK PARTNERS,01/14/2024,12047.56,EXPRESS
INV-324WZ48,MASSIVE PARTNERS,2024/06/02,4217.34,GROUND
INV-8316HAE,WAYNE GROUP,2024/02/11,5181.58,2DAY
INV-0CVADLG,BLUE INDUSTRIES,24-Oct-2025,1645.5,GROUND
INV-NO24CX3,STARK ENTERPRISES,2025-01-23,12354.26,EXPRESS
INV-WY6Z6KJ,BLUE ENTERPRISES,2025-04-05,1336.62,GROUND
INV-SL3VJL5,VECTOR CO,28-Jun-2025,2161.9,GROUND
INV-C3LJ7J1,MASSIVE CO,2024-11-19,4793.15,GROUND
INV-WSQ6GQC,APEX FREIGHT,2025-09-09,1264.32,GROUND
INV-VQG1S1T,GREEN CO,12-Mar-2024,16901.14,EXPRESS
INV-5JTQ83P,NIMBUS HOLDINGS,01/03/2024,2125.46,GROUND
INV-KJX8QEW, RED LOGISTICS ,2025/02/08,4057.05,GROUND
INV-O3S0BSP,NIMBUS HOLDINGS,10/08/2025,2655.76,GROUND
INV-LVTWWJR,GREEN CO,2024-05-23,4138.59,GROUND
INV-58DOGZ9,INITECH SUPPLY,"Apr 26, 2025",2718.8,2DAY
INV-2CMV43K,ACME INDUSTRIES,"Jul 10, 2025",5462.7,2DAY
INV-AWY8WH9,WAYNE GROUP,2025-06-03,3248.82,GROUND
INV-NYLOP7B,MASSIVE CO,11-Dec-2024,3482.42,GROUND
INV-UKMUEVT,MASSIVE CO,2025-11-28,18712.7,EXPRESS
INV-HPDCNQW,VECTOR FREIGHT,07-Dec-2025,3215.22,GROUND
INV-CDIHZCM,APEX GROUP,15-Nov-2024,11813.49,EXPRESS
INV-FFW3RNF,BLUE CO,2024/12/25,26655.94,FREIGHT
INV-FSGFGFX,STARK ENTERPRISES,2024/05/20,3709.43,GROUND
INV-AF61RD9,BLUE CO,29-May-2025,11598.28,EXPRESS
INV-WYC5O41,ZENITH HOLDINGS,06/05/2025,2058.3,GROUND
INV-JA9NBGK,VECTOR LLC,2024/09/13,2076.1,GROUND
INV-4YYXTUG,MASSIVE CO,"Dec 25, 2024",19782.24,EXPRESS
INV-PE7WYRM,HOOLI LOGISTICS,"May 14, 2025",1701.21,GROUND
INV-ZTS1DC3,TYRELL LLC,2025/01/16,5216.2,GROUND
INV-EZ56X29,HOOLI CO,05-Jan-2025,9153.83,EXPRESS
INV-1ZQW16Z,MASSIVE PARTNERS,16-Jun-2024,4571.65,GROUND
INV-TX7RRGF,BLUE PARTNERS,"Aug 29, 2024",3654.84,GROUND
INV-7MPE1R3,HOOLI SUPPLY,12/14/2025,50159.96,FREIGHT
INV-WIHJHZ8, INITECH FREIGHT ,"Apr 17, 2025",9750.22,EXPRESS
INV-NVLAIZK, WAYNE FREIGHT ,2025/02/22,3767.73,GROUND
INV-IG9OBUE,VECTOR CO,12/10/2025,3277.54,GROUND
INV-ZVZGL80,STARK GROUP,2024-03-16,41479.52,FREIGHT
INV-FJO4S23, UMBRELLA PARTNERS ,11-Feb-2024,6814.27,EXPRESS
INV-UNXKDUN,HOOLI LOGISTICS,"Oct 24, 2025",2716.35,GROUND
INV-KH2EKLX,STARK GROUP,"Jan 29, 2025",18308.62,EXPRESS
INV-WKNBJ5Q,HOOLI CO,2025/12/17,3940.87,GROUND
INV-Z4S4WEC,WAYNE GROUP,12/04/2025,11149.8,EXPRESS
INV-28CER7C,TYRELL INDUSTRIES,"Apr 07, 2025",51572.62,FREIGHT
INV-PNGTPPM,STARK FREIGHT,"Mar 15, 2025",7679.62,2DAY
INV-VE2RRXI,NIMBUS HOLDINGS,04-Oct-2024,8605.83,2DAY
INV-NMXU6SE, WAYNE FREIGHT ,02/03/2025,4152.94,GROUND
INV-79Q0O0C,GREEN LLC,"Oct 29, 2024",8022.85,EXPRESS
INV-95WUGS7,VECTOR FREIGHT,12/29/2025,1191.26,GROUND
INV-ISBOE22,HOOLI LOGISTICS,"Aug 23, 2025",3959.74,2DAY
INV-U8O4FUJ,VECTOR FREIGHT,2024/07/28,19333.93,EXPRESS
INV-OZ8MECK,HOOLI SUPPLY,2024-09-12,4866.69,GROUND
INV-GP7MD08,TYRELL PARTNERS,2024-02-23,2543.28,GROUND
INV-OBIXRL3,TYRELL PARTNERS,2024-03-19,6450.49,EXPRESS
INV-HCK947H,APEX FREIGHT,02-Aug-2025,2900.48,GROUND
INV-DR0SRT5,STARK FREIGHT,11/13/2024,5025.09,GROUND
INV-OD22H7N, BLUE SUPPLY ,2024/04/08,4485.77,GROUND
INV-SZJGUHM,INITECH SUPPLY,2024-01-01,2881.67,GROUND
INV-Z4MY6TV,WAYNE GROUP,01/13/2024,8723.76,2DAY
INV-HMPBIHH,WAYNE HOLDINGS,06-Nov-2025,8646.76,EXPRESS
INV-MCMS2F5,BLUE INDUSTRIES,10/20/2025,3373.16,GROUND
INV-4TJGV9T, WAYNE FREIGHT ,01-Sep-2025,4422.78,GROUND
INV-CZVIYSH, UMBRELLA PARTNERS ,17-Feb-2025,4744.78,GROUND
INV-F4702RY,BLUE CO,01/04/2024,4433.23,GROUND
INV-4LW1YM3,WAYNE GROUP,"Feb 24, 2025",2536.3,GROUND
INV-7CDDJJS,MASSIVE CO,02-May-2025,18898.97,EXPRESS
INV-QS0SMXQ,MASSIVE GROUP,17-Jan-2024,3108.2,GROUND
INV-CWQZTAD,WAYNE HOLDINGS,2025-08-21,8227.86,EXPRESS
INV-D3W7L7P,NIMBUS GROUP,02-Nov-2024,3243.14,GROUND
INV-RKKVKCR,ZENITH LOGISTICS,2025-06-11,14302.81,EXPRESS
INV-LQ5Q23E,HOOLI CO,04/11/2024,5076.62,GROUND
INV-6FHDB2O,HOOLI LOGISTICS,12/23/2024,23601.06,FREIGHT
INV-IQR9Q74,WAYNE GROUP,12/04/2024,3907.37,GROUND
INV-R8G1CD1,TYRELL INDUSTRIES,25-Jun-2024,2033.59,GROUND
INV-QYL8HEF,HOOLI ENTERPRISES,2024/06/20,1549.13,GROUND
INV-3ZJ51D5,QUANTUM FREIGHT,2025-11-20,3757.19,GROUND
INV-K89E4SH,STARK PARTNERS,"Sep 24, 2025",5651.03,EXPRESS
INV-85ESEW1,HOOLI ENTERPRISES,2025-05-10,2828.02,GROUND
INV-IZM57EC,ACME INDUSTRIES,"Jun 13, 2025",2095.29,GROUND
INV-APD20HN,HOOLI ENTERPRISES,08-Nov-2025,6142.41,2DAY
INV-78MI5R3,GREEN CO,05/22/2024,21453.07,FREIGHT
INV-HS77OMO,BLUE CO,2024/01/17,2814.4,GROUND
INV-TJKMLEB,VECTOR LLC,2024/08/25,4201.74,GROUND
INV-K331L7H,STARK GROUP,2024/05/07,1612.67,GROUND
INV-NIDXXTJ,GREEN LOGISTICS,2025/11/16,2350.49,GROUND
INV-8JF969H,ZENITH LOGISTICS,2024/02/29,16493.36,EXPRESS
INV-P0VWK5V,NIMBUS HOLDINGS,"Jan 02, 2024",20577.75,EXPRESS
INV-YCXU6AK,QUANTUM ENTERPRISES,2024-01-26,19873.5,EXPRESS
INV-KOKILHM,GREEN CO,02/28/2025,4105.59,2DAY
INV-F1ZJW6N, RED LOGISTICS ,2025-09-23,4749.33,GROUND
INV-9IQ6Q7E,UMBRELLA ENTERPRISES,06-May-2024,10159.41,2DAY
INV-2YUJ72L,VECTOR FREIGHT,2025-01-31,2511.65,2DAY
INV-XPIABSG,HOOLI ENTERPRISES,2025/10/16,14018.33,EXPRESS
INV-D6XNUFX,TYRELL FREIGHT,2024-09-13,4975.71,2DAY
INV-SDFXYXA,TYRELL FREIGHT,2024-11-13,2640.4,GROUND
INV-GPCSVMO,ACME INDUSTRIES,"Mar 27, 2025",26168.84,FREIGHT
INV-3ZZDOZC, BLUE SUPPLY ,"Aug 06, 2025",8874.77,2DAY
INV-6V454IO, UMBRELLA PARTNERS ,2025/10/03,10280.01,2DAY
INV-GPLAVN5,QUANTUM ENTERPRISES,20-May-2024,4128.46,GROUND
INV-8WVG9R9,ACME INDUSTRIES,26-Sep-2025,5436.14,2DAY
INV-1MWD641,TYRELL PARTNERS,13-Aug-2024,1800.28,GROUND
INV-4IQUN9M,HOOLI LOGISTICS,"Mar 06, 2024",1255.13,GROUND
INV-TT34547,VECTOR LLC,"Feb 07, 2024",9479.29,2DAY
INV-E294VRY,UMBRELLA INDUSTRIES,2025/09/24,2395.09,GROUND
INV-4HJ126U,QUANTUM FREIGHT,04-Feb-2024,2501.06,GROUND
INV-S1PHN81,WONKA LLC,2024/09/15,41989.45,FREIGHT
INV-UFYL91P, RED LOGISTICS ,2024/03/21,8999.65,2DAY
INV-S6R3M87,ZENITH LOGISTICS,08/17/2025,1071.61,GROUND
INV-JAVI2G1,APEX GROUP,2025-05-14,4737.24,GROUND
INV-EGQ65AM,BLUE CO,18-Jan-2024,4304.38,GROUND
INV-JOCO23M,HOOLI ENTERPRISES,30-Nov-2025,1127.13,GROUND
INV-TAEJ9RE,HOOLI LOGISTICS,21-Mar-2025,8159.48,EXPRESS
INV-BZ44FJH,NIMBUS HOLDINGS,09/02/2025,9545.19,EXPRESS
INV-MHQ7Z1S,STARK ENTERPRISES,"Apr 29, 2025",9179.75,2DAY
INV-ALKJA4C,HOOLI SUPPLY,2024-06-12,2375.79,2DAY
INV-03OWJBA,TYRELL FREIGHT,2024/07/13,20034.84,EXPRESS
INV-LESGMKZ,VERTEX PARTNERS,2025-09-18,2674.16,GROUND
INV-FR7AULF,UMBRELLA ENTERPRISES,01/18/2024,2208.34,GROUND
INV-KLRNIEX,HOOLI LOGISTICS,2025-03-29,4286.12,GROUND
INV-XZV8WY6, BLUE SUPPLY ,15-Mar-2024,14296.65,EXPRESS
INV-KKT98OU,QUANTUM FREIGHT,2024/09/24,5336.84,GROUND
INV-AS6MRNR,NIMBUS HOLDINGS,2025-09-09,3252.28,GROUND
INV-AIPMCDF,HOOLI SUPPLY,"Oct 23, 2025",3836.21,GROUND
INV-O5Y3REO,QUANTUM FREIGHT,04/13/2025,14644.54,EXPRESS
INV-CDEB9E2,VERTEX SUPPLY,"Feb 18, 2024",13715.38,EXPRESS
INV-Z48ER58,BLUE CO,2025/12/28,5456.14,GROUND
INV-6YRJT86,HOOLI LOGISTICS,05/18/2025,2976.41,2DAY
INV-PLJ6X9E,WONKA SUPPLY,2025-12-22,5138.67,GROUND
INV-DHJUZ2B,VECTOR LOGISTICS,2024/02/04,2409.89,2DAY
INV-774I4E9,INITECH SUPPLY,"Sep 26, 2025",2072.25,GROUND
INV-Y0ZI9N3,GREEN FREIGHT,2025/12/21,1346.45,GROUND
INV-MAOHL1E,INITECH SUPPLY,17-Feb-2024,4932.87,GROUND
INV-12U89FR, UMBRELLA PARTNERS ,2024/12/15,17295.81,EXPRESS
INV-03SATLR,WAYNE GROUP,09/24/2025,17155.89,EXPRESS
INV-E6U50EG,WAYNE GROUP,"Sep 30, 2024",9373.02,EXPRESS
INV-LPY605X,BLUE ENTERPRISES,06/13/2024,8469.14,2DAY
INV-RR0PEJB,ZENITH HOLDINGS,"May 30, 2025",3154.88,GROUND
INV-6TR3Y7V,GREEN FREIGHT,2025/07/02,1449.41,GROUND
INV-9JI4ZUF,BLUE PARTNERS,23-Apr-2025,9162.13,2DAY
INV-XXLJQEM,MASSIVE SUPPLY,2025-09-11,2672.52,GROUND
INV-IZOELAA,HOOLI LOGISTICS,2024/05/29,4841.44,GROUND
INV-LD34C65,MASSIVE CO,2024-11-26,26170.92,FREIGHT
INV-N0FOV8C,MASSIVE SUPPLY,09/16/2024,2360.26,GROUND
INV-8B41WBM,ZENITH HOLDINGS,2024-02-08,2688.86,GROUND
INV-S7NI337,HOOLI LOGISTICS,"Apr 11, 2024",10104.73,2DAY
INV-L4DUWX8,VERTEX SUPPLY,"Mar 11, 2025",16437.34,FREIGHT
INV-UCQYZ6J, WAYNE FREIGHT ,2025-10-19,1736.99,GROUND
INV-ELCH541,MASSIVE CO,01/26/2024,10162.17,2DAY
INV-E42L4TD,APEX GROUP,2024-07-10,5260.65,GROUND
INV-P3ADTHL,UMBRELLA INDUSTRIES,2024/06/09,4008.77,GROUND
INV-GMQ1PQU,QUANTUM ENTERPRISES,"Sep 16, 2025",2150.36,GROUND
INV-G1NW4IS,NIMBUS GROUP,2025/12/16,6195.95,2DAY
INV-U3T05KQ,STARK PARTNERS,03/25/2024,20544.01,EXPRESS
INV-5C4OYLX,BLUE INDUSTRIES,"Nov 03, 2024",6181.08,2DAY
INV-R6ZUQ2X,MASSIVE CO,"Mar 16, 2025",2089.48,GROUND
INV-JA483QP,UMBRELLA ENTERPRISES,2024-02-02,19074.93,EXPRESS
INV-2OMQJBB,WONKA SUPPLY,"Dec 28, 2025",9599.24,2DAY
INV-4794V9R,MASSIVE CO,2025/10/06,7575.38,EXPRESS
INV-OK8SB90, RED LOGISTICS ,"Aug 12, 2025",20690.03,FREIGHT
INV-FYYX3VW,ZENITH HOLDINGS,"May 28, 2025",17344.02,EXPRESS
INV-Y7U8MJN, MASSIVE LLC ,03/19/2025,9791.69,2DAY
INV-INE26Q7, INITECH FREIGHT ,"Dec 11, 2025",7503.51,EXPRESS
INV-LKUZ72J, BLUE SUPPLY ,07/07/2025,9320.65,2DAY
INV-Q968P54,NIMBUS HOLDINGS,05-May-2025,2754.01,2DAY
INV-4OE7K7H,INITECH SUPPLY,2025/10/11,9659.44,EXPRESS
INV-9J1FB6P,HOOLI LOGISTICS,11/13/2024,4617.7,GROUND
INV-XKXETRM, MASSIVE LLC ,"Dec 18, 2025",2398.96,2DAY
INV-H6PCDP8,ZENITH LOGISTICS,2024-10-31,2147.65,GROUND
INV-K7LU9OF,VECTOR LLC,2024/09/10,3636.42,GROUND
INV-O2IDK88,BLUE CO,09-Jul-2024,14332.14,EXPRESS
INV-ITY987D,MASSIVE PARTNERS,11/13/2024,1342.86,GROUND
INV-V59P356,GREEN FREIGHT,2025-12-12,1131.21,GROUND
INV-RVI35Y6, MASSIVE LLC ,24-Jul-2025,4559.97,GROUND
INV-TJQFT41,TYRELL PARTNERS,2025-05-12,41527.79,FREIGHT
INV-5F79GX2,MASSIVE PARTNERS,09/30/2025,2102.14,GROUND
INV-I3DQH33,VECTOR FREIGHT,18-Jan-2025,4287.47,GROUND
INV-N6EHZH2,WONKA SUPPLY,2025/07/16,5547.2,2DAY
INV-NEDHN1W,VECTOR CO,2024/02/19,7027.63,EXPRESS
INV-ZY8Z6AV,QUANTUM FREIGHT,"May 24, 2025",2617.3,GROUND
INV-K5471RT,NIMBUS HOLDINGS,13-Jul-2025,3020.24,GROUND
INV-X06KZEC,QUANTUM ENTERPRISES,28-May-2024,8692.05,EXPRESS
INV-1SWS61S,WAYNE GROUP,2024/05/14,9147.46,2DAY
INV-HSVLYJR,QUANTUM FREIGHT,"May 19, 2025",2170.66,GROUND
INV-99PKP56, INITECH FREIGHT ,2024-07-21,1488.05,GROUND
INV-K391VKB,GREEN LLC,06-Aug-2025,13743.31,EXPRESS
INV-RW52RD6,ZENITH HOLDINGS,20-Jul-2025,11109.72,EXPRESS
INV-BTA9GS1, BLUE SUPPLY ,2024-03-14,30205.5,FREIGHT
INV-YNS2WSQ, RED LOGISTICS ,2024-04-03,9550.62,EXPRESS
INV-M03PP6I,VECTOR FREIGHT,09-Nov-2024,10506.25,EXPRESS
INV-ZU3VDI8,HOOLI LOGISTICS,18-Mar-2025,10053.35,2DAY
INV-Z7XTTTZ, RED LOGISTICS ,07/13/2025,5239.48,2DAY
INV-65P1NEJ,UMBRELLA INDUSTRIES,05/24/2024,2845.48,GROUND
INV-0N6H7U6,STARK PARTNERS,2024-07-26,6425.02,2DAY
INV-Z5CWKKA,ZENITH SUPPLY,"Jun 29, 2024",3256.19,GROUND
INV-9IUE75A,MASSIVE PARTNERS,15-Feb-2024,19969.33,EXPRESS
INV-P4JE4DK,WAYNE GROUP,2025/02/05,1626.04,GROUND
INV-GW1B51G,HOOLI ENTERPRISES,"Apr 24, 2024",7022.62,2DAY
